Label,Parent,Geometry/Area,Geometry/Perimeter,Lobeyness/Circularity,CellCenters(x),CellCenters(y)
2,1,7700,505.167,2.63735964058014,39.7884415584416,75.9312987012987
3,2,241,62.39,1.28529572979256,5.41908713692946,77.0954356846473
4,1,10462,732.255,4.07849666888152,37.0875549608106,279.390460714968
5,1,6866,397.597,1.83219854775992,55.0637926012234,384.235362656569
6,1,20930,1095.985,4.56699071051971,157.616053511706,436.165121834687
7,1,7861,385.962,1.50800032828706,63.5436967306958,491.300343467752
8,1,14683,827.65,3.71251977784439,107.746100933052,575.416740448137
9,2,544,89.491,1.17152067755522,8.59375,559.860294117647
10,1,106,47.884,1.7213338727659,3.36792452830189,585.132075471698
11,1,4220,308.414,1.79368366471531,34.9196682464455,621.186966824645
12,1,860,115.245,1.22895468413314,12.6046511627907,634.747674418605
13,1,1043,123.135,1.15682817367987,14.8552253116012,679.353787152445
14,1,103,46.296,1.65592190054477,3.10679611650485,698.631067961165
15,1,14605,753.259,3.09155682389723,74.3306401917152,693.809380349196
16,1,2451,222.509,1.60746671356217,17.0820073439412,783.711138310893
17,1,1761,162.26,1.18974454792275,18.1851220897217,864.974446337308
18,1,28053,1149.437,3.74784110345426,78.6234627312587,907.882793284141
19,1,637,103.278,1.33249731293055,8.99843014128728,963.962323390895
20,1,20880,745.948,2.12068785591426,78.4030172413793,1124.47634099617
21,1,164,66.632,2.15432879385605,3.14024390243902,1092.37195121951
22,1,19962,977.155,3.80638753020428,49.9760044083759,1283.95897204689
23,1,125180,4870.683,15.0811659593654,339.701661607286,1521.72612238377
24,1,8734,462.412,1.94820718261272,62.1021296084268,1520.07797114724
25,1,377,80.915,1.38199624397084,6.40583554376658,1581.96551724138
26,1,956,176.088,2.58102235001446,8.11192468619247,1645.88179916318
27,1,3363,232.242,1.27627656377909,36.4885518881951,1715.64317573595
28,1,26930,1444.689,6.16740565487892,106.372521351652,1746.94118083921
29,1,6727,484.052,2.77174163836075,25.031366136465,1955.31440463803
30,1,20323,1050.197,4.31860880124529,96.0447276484771,2129.79702799783
31,1,5197,361.016,1.995677307805,21.1695208774293,2150.38772368674
32,1,39691,1805.929,6.53882085567649,89.3149076616865,2391.27464664533
33,2,982,132.38,1.42011463049794,9.77494908350305,2308.61405295316
34,2,420,86.051,1.40298390503627,6.72142857142857,2383.50714285714
35,1,98835,4231.86,14.4192261364088,289.104790812971,2599.51311782263
36,1,3421,221.516,1.14142469127311,34.9123063431745,2587.69482607425
37,1,1571,203.057,2.08857407086612,13.9261616804583,2647.28389560789
38,1,17555,795.768,2.87053101866046,76.7281116491028,2732.78285388778
39,1,680,107.918,1.36291571619828,11.0073529411765,2741.26470588235
40,1,605,97.854,1.2594818910329,12.5702479338843,2791.74380165289
41,1,1159,197.962,2.69073151648436,20.9413287316652,2829.27696289905
42,1,11062,645.541,2.9978102705057,82.3845597541132,172.166154402459
43,1,927,115.179,1.1388250436251,30.6957928802589,2816.10895361381
44,1,2102,174.46,1.15225648371226,41.9281636536632,163.779257849667
45,1,6117,391.032,1.98918993878557,89.3995422592774,1937.43992153016
46,2,1151,127.162,1.11796835864025,56.9652476107732,1878.21894005213
47,2,944,124.491,1.30645378883699,54.9353813559322,2185.41949152542
48,1,79119,2592.708,6.7610875851242,312.075708742527,148.827765770548
49,11,9334,502.68,2.15429687887955,109.031176344547,1308.75508892222
50,1,2071,175.262,1.18028140161824,58.4664413326895,1984.65475615645
51,1,19666,1018.759,4.19968791020499,157.084155395098,324.821926166989
52,1,297,100.258,2.69321956224264,75.6969696969697,2840.96296296296
53,1,40858,1742.754,5.91541486441372,184.627661657448,1873.75985119193
54,1,25445,1540.964,7.4263030273811,185.594733739438,2285.48209864413
55,1,4683,277.259,1.3062830248703,114.133674994662,1377.20093956865
56,1,30389,1298.316,4.41402252727911,208.760702885913,1040.54786271348
57,2,690,100.458,1.16388507875627,86.4710144927536,1973.98985507246
58,1,103117,3939.763,11.9784344585054,361.79468952743,790.829436465374
59,11,4404,331.734,1.98848718504309,144.615349682107,206.560172570391
60,1,8554,497.923,2.3064564846444,191.336333878887,2795.48386719663
61,11,4114,321.048,1.99372744002811,157.201263976665,2134.14268351969
62,2,824,112.244,1.21671593092419,136.853155339806,1276.37014563107
63,1,2080,191.812,1.40759705136064,154.125,30.3629807692308
64,11,3637,267.732,1.56836592995761,175.42205114105,2454.30464668683
65,1,14573,716.902,2.80647226738595,224.213820078227,2045.34062993207
66,1,273,157.553,7.23570484599722,165.21978021978,2842.04761904762
67,1,11929,655.258,2.86424894130506,193.442115852125,1179.49425769134
68,1,18399,846.999,3.10285664873904,198.064296972662,1341.52122397956
69,1,20697,1047.152,4.21601540796894,266.118084746582,521.391506015365
70,2,794,104.122,1.08656231056676,165.178841309824,240.993702770781
71,2,823,105.412,1.07441090453288,165.722964763062,2107.77399756987
72,11,11752,613.088,2.54521213204963,224.427076242342,231.818243703199
73,1,11818,629.025,2.66429287367798,250.813927906583,2443.75291927568
74,11,7105,446.317,2.23106853917783,223.481914144968,2128.95214637579
75,1,41543,1811.903,6.28871869568603,306.962472618732,2032.65467106372
76,11,2145,191.877,1.36586783769759,202.152447552448,609.312820512821
77,1,48839,2008.721,6.57449822954447,326.089416245214,1681.46935850447
78,1,10774,569.139,2.39248849325301,241.339521069241,681.898552069798
79,1,46421,1919.651,6.31713565531398,361.104413950583,1015.92096249542
80,1,26992,1278.658,4.82018682209531,326.746887966805,2424.89904416123
81,2,766,110.879,1.27720310962234,224.720626631854,2476.18015665796
82,1,27667,1344.518,5.19949670701946,330.714208262551,2736.2665991976
83,2,652,101.69,1.26211530990566,235.042944785276,2367.59969325153
84,2,663,97.357,1.13765603072296,228.647058823529,592.393665158371
85,1,3590,260.884,1.5086572242114,255.191922005571,35.5348189415042
86,1,51687,2136.025,7.02459795581475,362.965213690096,462.345638168205
87,1,27146,1029.458,3.10671602083407,332.990311648125,1320.45303175422
88,2,1105,122.209,1.0755590002284,258.329411764706,1372.30316742081
89,1,52050,1908.372,5.56795188751554,479.442209414025,2350.26568683958
90,1,9882,536.621,2.31889249456973,339.172535923902,1157.0124468731
91,1,1843,176.172,1.34010420578647,328.587086272382,1201.32121540966
92,1,29798,1459.396,5.68786556760389,497.232498825424,1214.66417209209
93,0,3086,217.565,1.22059693860767,366.648088139987,38.6341542449773
94,1,54247,2247.976,7.413064023553,468.164598963998,1885.26106512803
95,11,6203,428.489,2.35541648116509,416.459616314686,2146.80299854909
96,11,10465,569.907,2.46978350597331,420.427042522695,2731.82580028667
97,1,12091,737.516,3.57989927894619,472.249276321231,2211.81283599371
98,1,42219,1942.78,7.11425522527636,565.930481536749,955.863781709657
99,2,822,109.117,1.15266512379886,400.345498783455,2199.84671532847
100,11,3726,285.332,1.73879445474562,441.709339774557,2202.27428878154
101,1,13656,673.972,2.64697802828864,514.451962507323,2756.70284124194
102,1,38805,1480.323,4.49381740511474,601.268470557918,420.398685736374
103,1,14875,759.723,3.08776123510719,488.169075630252,90.744
104,11,5044,340.898,1.83342844360185,456.249008723236,984.3493259318
105,11,7003,466.455,2.47243859890642,485.196915607597,1063.87134085392
106,11,8951,472.699,1.98649714831739,494.911183108033,1924.96693106915
107,1,992,146.117,1.71269471526948,471.985887096774,10.4435483870968
108,1,25065,1167.728,4.32918170919442,565.462357869539,297.64767604229
109,1,98313,3719.596,11.1987804710352,730.6209860344,1594.45724370124
110,1,13615,709.912,2.94565259065118,531.45971355123,598.301358795446
111,11,5523,359.414,1.86125155027079,493.09288430201,530.142313959804
