Label,true_cell,extcenterX,extcenterY,centerX,centerY,perimeter,area,ch_perimeter,ch_area,pconvexity,aconvexity
1,True,-0.5,-0.5,38.982723577235774,7.927845528455284,183.840620433566,984,171.70789721560874,1408.0000000000002,0.9340041216715672,0.6988636363636362
2,True,-0.5,74.93129870129872,38.78844155844156,74.9312987012987,530.7178207935912,7700,405.85180446415336,10657.5,0.7647223977843375,0.722495894909688
3,True,-0.5,76.09543568464733,4.419087136929461,76.0954356846473,65.21320343559643,241,67.75410860457447,254.0,1.0389630478970011,0.9488188976377953
4,True,-0.5,278.3904607149684,36.08755496081055,278.39046071496847,764.58787847868,10462,574.8283091015177,16280.5,0.7518145726365271,0.642609256472467
5,True,-0.5,383.23536265656867,54.06379260122342,383.2353626565686,418.5340546095176,6866,375.4321788716405,9260.500000000002,0.897017040159157,0.7414286485610927
6,True,-0.5,435.16512183468694,156.61605351170567,435.1651218346871,1157.3422791987305,20930,746.4158059048093,35576.5,0.6449395475481806,0.58830969881804
7,True,-0.5,490.3003434677521,62.54369673069584,490.3003434677522,407.747258045114,7861,374.2650426006484,9504.499999999998,0.91788487896892,0.827081908569625
8,True,-0.5,574.4167404481373,106.74610093305184,574.4167404481373,872.5067093990478,14683,616.6327653131013,22488.5,0.7067369897221953,0.6529114880939146
9,True,-0.5,558.8602941176471,7.59375,558.8602941176471,93.45584412271572,544,95.11011599367794,565.0,1.0177011067257604,0.9628318584070796
10,True,-0.5,584.132075471698,2.3679245283018866,584.1320754716982,47.89949493661167,106,52.23912287959535,120.5,1.0905986158878411,0.8796680497925311
11,True,-0.5,620.1869668246445,33.9196682464455,620.1869668246445,324.7766952966369,4220,276.1516877889361,5304.5,0.8502817221436137,0.7955509473088886
12,True,-0.5,633.7476744186047,11.604651162790695,633.7476744186047,119.84062043356596,860,120.6024483256468,902.0,1.0063570089117084,0.9534368070953436
13,True,-0.5,678.353787152445,13.855225311601153,678.3537871524449,128.3259018078045,1043,127.66139673282972,1095.0,0.9948217385140996,0.9525114155251142
14,True,-0.5,697.631067961165,2.1067961165048543,697.6310679611651,48.72792206135786,103,51.22724225124509,114.0,1.0512913353198214,0.9035087719298246
15,True,-0.5,692.8093803491954,73.33064019171516,692.8093803491955,793.4234482783626,14605,566.1733962303252,20721.500000000004,0.7135828887573921,0.7048234925077816
16,True,-0.5,782.7111383108936,16.08200734394125,782.7111383108935,232.68124086713192,2451,225.0834487392412,2740.0,0.9673467783669362,0.8945255474452555
17,True,-0.5,863.9744463373083,17.185122089721748,863.9744463373083,169.49747468305833,1761,167.1108185789622,1843.5,0.985919223229969,0.9552481692432874
18,True,-0.5,906.8827932841407,77.62346273125868,906.8827932841408,1207.1412690719535,28053,809.6933725464186,42692.0,0.6707527886681467,0.6571020331678066
19,True,-0.5,962.9623233908949,7.998430141287284,962.9623233908948,107.59797974644668,637,108.8556552632136,666.0,1.0116886536320722,0.9564564564564564
20,True,-0.5,1123.4763409961686,77.40301724137932,1123.4763409961686,780.0681092190353,20880,624.5537540543927,25811.0,0.8006400295990364,0.8089574212545039
21,True,-0.5,1091.371951219512,2.1402439024390243,1091.371951219512,69.31370849898477,164,72.16243758807329,172.5,1.041099071897592,0.9507246376811594
22,True,-0.5,1282.9589720468891,48.97600440837592,1282.9589720468891,1024.1219330881977,19962,716.8191538571804,31820.0,0.6999353599386761,0.6273412947831553
23,True,8.930153094646926,1520.1714126276802,338.7016616072856,1520.7261223837677,5130.388452778678,125180,2021.1309665899105,245716.5,0.3939528137475131,0.509448897408192
24,True,-0.5,1519.0779711472405,61.10212960842684,1519.0779711472408,487.10259710444143,8734,452.29949428417206,11172.500000000002,0.9285507754892812,0.7817408816289997
25,True,-0.5,1580.9655172413795,5.405835543766578,1580.9655172413793,84.87005768508881,377,86.332665493944,397.00000000000006,1.0172334961086302,0.9496221662468513
26,True,-0.5,1644.88179916318,7.111924686192468,1644.88179916318,183.1543289325507,956,180.37533294779465,1180.0,0.9848270253782564,0.8101694915254237
27,True,-0.5,1714.64317573595,35.48855188819506,1714.64317573595,244.8528137423857,3363,233.31740354272333,3626.0,0.952888390280869,0.9274682846111416
28,True,-0.5,1745.9411808392128,105.37252135165244,1745.9411808392128,1520.9352083112938,26930,834.2708231690898,45121.500000000015,0.548524893506402,0.5968329953569804
29,True,-0.5,1954.3144046380257,24.031366136464992,1954.314404638026,507.36248173426384,6727,451.8963662835309,9693.999999999998,0.8906775383525818,0.693934392407675
30,True,-0.5,2128.797027997835,95.04472764847708,2128.797027997835,1103.9625535217635,20323,792.6763467403277,34339.00000000001,0.7180282920028418,0.5918343574361512
31,True,-0.5,2149.3877236867424,20.169520877429285,2149.3877236867424,375.82337649086287,5197,358.4014223609712,5740.0,0.9536432398309976,0.9054006968641116
32,True,-0.5,2390.274646645335,88.31490766168653,2390.274646645335,1896.6580797387685,39691,1038.194140902115,64255.0,0.5473807598705973,0.6177106839934635
33,True,-0.5,2307.6140529531567,8.774949083503055,2307.6140529531567,137.35533905932738,982,138.61022536998286,1007.0,1.0091360577553776,0.9751737835153924
34,True,-0.5,2382.5071428571428,5.721428571428572,2382.5071428571428,89.2842712474619,420,91.4932351284078,439.0,1.0247407953280314,0.956719817767654
