Label,Parent,Geometry/Area,Geometry/Perimeter,Lobeyness/Circularity,CellCenters(x),CellCenters(y)
11,0,41188,1655.263,5.29362834033549,156.818417985821,227.958070311741
45,0,2737,217.943,1.38102387905516,34.0599196200219,1248.54804530508
55,0,38,25.166,1.32627909386459,2.44736842105263,550.657894736842
58,0,728,115.244,1.45176193217399,18.5164835164835,178.001373626374
60,0,4769,321.244,1.72199887503734,48.8488152652548,1042.63430488572
64,0,7461,408.517,1.77997279194256,69.2042621632489,515.541482375017
65,0,3350,242.646,1.39859380989028,36.9632835820896,613.23223880597
67,0,7908,445.215,1.99463323603126,75.7894537177542,379.407309054122
68,0,772,105.411,1.14536709542652,14.229274611399,17.7253886010363
72,0,2231,204.975,1.49862286973152,33.6880322725235,1149.4343343792
74,0,475,117.766,2.32346628391822,19.0421052631579,1272.78105263158
76,0,3364,301.969,2.15704333613952,49.7529726516052,32.1293103448276
79,0,1697,171.837,1.38465525310821,26.8479670005893,894.12433706541
80,0,4393,266.512,1.28665605906473,39.6105167311632,666.318005918507
81,0,485,94.379,1.46150107870139,9.67628865979381,461.523711340206
82,0,1145,130.568,1.18483575871319,14.2995633187773,778.137991266376
83,0,1375,140.831,1.14784689562052,19.2814545454545,861.752727272727
84,0,5946,380.445,1.93708640269769,64.6982845610494,79.9668684830138
86,0,5440,322.163,1.51824744125129,58.6273897058824,822.222426470588
89,0,2623,212.294,1.36731092977981,30.0041936713687,1105.10751048418
92,0,7191,484.909,2.60208414684512,93.6720901126408,968.132804895008
93,0,4735,317.423,1.69335079669953,59.3214361140444,1002.24223864836
94,0,8257,698.477,4.70188573997058,135.60288240281,1243.62334988495
95,0,7097,509.04,2.90548843561519,116.087219952092,710.287868113287
96,0,5422,453.788,3.02229349995052,92.707672445592,741.054223533751
97,0,8543,472.559,2.08013636904661,102.388622263842,132.321081587264
98,0,99,58.395,2.74098252628082,14.5151515151515,2.37373737373737
99,0,2381,198.98,1.32327343378772,30.9781604367913,113.343553128937
100,0,9459,465.126,1.82006183914898,96.4786975367375,563.879268421609
101,0,10466,679.549,3.51116275473305,148.179247085802,1214.52006497229
102,0,2412,264.131,2.30171518948891,52.2437810945274,930.900912106136
103,0,6007,455.478,2.74832009947592,107.95238887964,333.815714999168
104,0,8049,440.691,1.92006782916186,106.825941110697,464.888681823829
105,0,10612,621.193,2.89365000622187,163.703166226913,1092.44836034678
106,0,5099,342.101,1.82647533314656,93.675622671112,776.520101980781
107,0,641,130.023,2.09880684009804,47.4680187207488,7.95787831513261
108,0,9323,577.812,2.84975527231646,161.408023168508,1138.17011691516
109,0,4282,313.889,1.83103086843339,85.1298458664176,879.752452125175
110,0,667,93.156,1.03534708832478,61.6206896551724,906.868065967016
111,0,280,76.334,1.65602979310448,60.2392857142857,1273.47857142857
112,0,7192,426.584,2.01349048526261,134.664488320356,410.670050055617
113,0,7186,424.739,1.99777789546636,136.241163373226,246.111466740885
114,0,9854,499.011,2.01093399670428,168.483357012381,613.881875380556
115,0,3365,308.352,2.24852958781934,130.550371471025,1163.86389301634
116,0,1232,140.975,1.28370027627151,91.9172077922078,921.00974025974
117,0,672,100.74,1.20177940159479,83.9985119047619,1266.1875
118,0,17187,742.935,2.55559303762769,234.57590038983,663.405771804271
120,0,3758,484.19,4.96437970616843,173.48642895157,12.9254922831293
121,0,1300,182.663,2.04243364433899,116.955384615385,1264.86846153846
123,0,4886,369.873,2.22813721804531,178.506344658207,811.383954154728
124,0,9018,556.904,2.73678436126943,194.66500332668,45.2551563539587
125,0,3294,288.978,2.01741898372083,163.44656952034,875.068002428658
126,0,2490,263.264,2.21500004883609,157.000401606426,1046.12489959839
127,0,7351,528.983,3.02919438953669,227.480478846415,932.785879472181
129,0,52368,2038.605,6.31524666415204,564.389703635808,1032.58171020471
130,0,6749,481.22,2.73047399940282,223.484812564824,841.58971699511
131,0,1202,134.946,1.20560683147892,149.007487520799,1187.52495840266
132,0,943,111.086,1.04135091045531,144.003181336161,901.306468716861
134,0,2055,221.756,1.9042723797749,194.3099756691,757.414598540146
135,0,1334,146.034,1.27216155967203,174.129685157421,910.465517241379
137,0,30732,1357.115,4.76905809507582,459.718924899128,491.884094754653
138,0,3859,304.889,1.91689740358576,224.119979269241,71.4039906711583
139,0,1193,142.619,1.3567644831718,185.290863369656,1064.09639564124
140,0,590,87.961,1.04356244224485,175.613559322034,782.130508474576
141,0,9162,623.823,3.3800460280073,305.918904169395,350.527068325693
142,0,742,100.772,1.08909555790562,181.061994609164,1193.10242587601
143,0,5901,428.915,2.48088704130404,274.423995932893,109.699203524826
146,0,7967,450.236,2.02477026172431,236.884398142337,444.114597715577
147,0,3911,309.121,1.94428237533614,239.092303758629,540.72411148044
148,0,881,108.142,1.05633828935224,199.16572077185,90.3688989784336
149,0,1042,119.28,1.08656991951992,205.846449136276,781.598848368522
150,0,905,125.863,1.39295701571865,204.249723756906,576.075138121547
151,0,3343,273.807,1.78460807246911,239.299132515704,306.29733772061
152,0,5779,468.81,3.02643377651601,297.377054853781,731.801176674165
153,0,575,86.44,1.03407445008507,207.593043478261,1051.98608695652
154,0,4488,314.647,1.75543388955408,244.559046345811,1201.88591800357
155,0,2395,199.718,1.325314760487,228.994989561587,896.814613778706
156,0,1355,144.282,1.22257397950162,223.60073800738,244.29815498155
157,0,1978,197.276,1.56571371470473,243.007583417594,956.341759352882
158,0,592,87.366,1.02601411099491,225.050675675676,567.961148648649
159,0,5160,321.875,1.59777244509856,267.410852713178,1061.26821705426
160,0,5017,374.632,2.22615693256961,299.885588997409,202.766394259518
161,0,3039,296.079,2.29548598973413,273.91707798618,382.846001974334
162,0,7126,507.332,2.87427839621141,337.475582374404,884.028908223407
163,0,912,109.456,1.04538061814689,242.266447368421,221.413377192982
164,0,3548,268.406,1.61581250411392,274.784103720406,765.440248027057
165,0,5107,392.756,2.40364283429047,320.804190327002,699.966124926571
166,0,1982,191.941,1.47918329005229,269.884460141271,568.358224016145
167,0,5530,389.056,2.17815729704152,321.411754068716,1168.37938517179
168,0,1599,176.254,1.54603611957687,269.235146966854,420.19449656035
169,0,1790,190.751,1.61759856056538,279.520111731844,329.255865921788
170,0,2157,201.727,1.50130195702294,278.3421418637,231.565600370885
171,0,484,83.231,1.13897711887891,260.223140495868,403.564049586777
172,0,3864,283.103,1.65060045815657,304.325569358178,797.714803312629
173,0,685,103.766,1.25086291224805,270.246715328467,893.378102189781
175,0,803,124.193,1.52851190880424,292.99501867995,18.4109589041096
176,0,8018,560.476,3.11772729468508,394.639186829633,52.0212022948366
177,0,9140,466.731,1.89660650206494,361.322210065645,611.233588621444
178,0,6548,520.175,3.28836802732219,384.145846059866,1225.58445326817
179,0,2298,196.101,1.33167954305151,303.77545691906,955.553524804178
180,0,633,90.377,1.02683879464098,294.192733017378,311.271721958926
182,0,12014,746.867,3.69478396244194,444.100382886632,1138.50399533877
184,0,11732,705.444,3.37553930813124,436.731247869076,380.624275485851
185,0,4167,289.322,1.5985622492426,340.875929925606,1256.21046316295
186,0,5182,369.186,2.09306721277386,380.300077190274,536.084137398688
187,0,5197,361.885,2.00529644283208,362.592649605542,308.635366557629
188,0,6745,411.208,1.99494667926283,387.50719051149,439.612601927354
190,0,8010,547.829,2.98158817111759,409.795505617978,269.474406991261
191,0,8382,574.796,3.13667811581369,432.06346933906,573.237294201861
192,0,4021,358.039,2.53697819088973,385.763740363094,1065.28201939816
193,0,4230,302.289,1.71907354288175,370.106855791962,22.5985815602837
194,0,2065,184.599,1.31319363212774,343.262469733656,1093.30266343826
