Label,centerX,centerY,perimeter,area,ch_perimeter,ch_area,pconvexity,aconvexity
1,61.37386934673367,58.106197654941376,580.5462479183374,11940,470.5527431822146,15041.000000000002,0.8105344662367105,0.7938301974602752
2,18.980870583642396,142.45207886004295,408.04877323527904,5123,366.44222853746254,6587.5,0.8980353638416004,0.7776850094876661
3,232.27740716689297,211.73996890804258,2325.2287142747455,50817,1257.4220404517444,104084.99999999999,0.5407734872412079,0.48822596915982136
4,26.46369585540667,290.6880648177002,260.89444430272835,3209,236.95574451112174,3862.4999999999995,0.9082437349113138,0.8308090614886733
5,250.2841594827586,411.94893780788175,2834.4145724998716,64960,1388.0764100930664,122924.49999999999,0.48972243635793306,0.5284544578176036
6,35.237064413938754,418.4416578669483,316.237590053236,3788,270.66415130070834,4696.000000000002,0.8558886097479566,0.8066439522998293
7,25.840794223826716,465.2620938628159,243.23759005323595,2770,216.40701788423942,3283.500000000001,0.8896939730280822,0.8436119993908936
8,3.3439153439153437,510.031746031746,64.97056274847714,189,66.8284119348004,203.5,1.0285952454116123,0.9287469287469288
9,107.59031194521937,697.6717981232564,1708.8174593052022,39430,1013.6914786424711,64052.49999999999,0.5932122668354721,0.6155887748331448
10,51.1162150719729,695.8223962743438,292.40916292848976,4724,277.0068384590081,5168.999999999999,0.9473261223580454,0.9139098471657963
11,7.176047904191617,800.0994011976048,148.08326112068522,835,148.0002023483258,902.5,0.99943910762276,0.925207756232687
12,6.913793103448276,865.5752351097178,120.5269119345812,638,121.85984418854042,701.0000000000001,1.011059208541597,0.9101283880171183
13,148.99902765220654,975.4632299005476,2523.72113832392,58621,1176.4255549454645,100168.49999999997,0.46614720504610285,0.5852238977323212
14,39.19362867098059,937.565206570433,259.82337649086287,4018,249.4656590689449,4364.0,0.9601355445310279,0.9207149404216315
15,170.0870921469068,1178.7299346524283,1964.4692629208114,43919,1115.8350671868352,74716.00000000001,0.5680084123728104,0.5878125167300176
16,23.997591477535895,1302.2708661417323,970.9970414071697,10795,755.4786692216238,20813.5,0.7780442545188228,0.5186537583779758
17,4.222857142857142,1228.3695238095238,126.62741699796952,525,128.4416551861913,547.0,1.0143273726277688,0.9597806215722121
18,153.0767973262615,1544.2565844443636,1309.8103166302658,27527,800.3890254979378,42204.0,0.6110724700635201,0.6522367548099706
19,32.78578081341198,1539.9900651971438,300.8528137423857,3221,273.1987362099675,4162.5,0.9080810407307746,0.7738138138138139
20,97.89727534911961,1669.814511232544,1287.6437943888955,26352,761.344309869286,41679.5,0.5912693504111619,0.6322532659940738
21,45.69243043145264,1771.7275338269083,911.38181771802,15668,724.1504979909425,24124.50000000001,0.7945632488084083,0.649464237600779
22,66.97337646180642,1907.2318155428381,730.2102448427661,12057,547.5340844355693,19326.000000000007,0.7498307347816904,0.6238745731139396
23,160.11332906227872,1962.040597498061,1514.6042558696058,29657,904.715383019582,51610.5,0.5973279023305941,0.5746311312620493
24,87.85334178017105,2142.2470172104317,994.8670990922585,18942,747.7948585087915,34876.49999999999,0.7516530189721805,0.5431164250999958
25,154.7447211553501,2367.9013225352355,2617.0937213259504,57541,1214.1729161396372,102796.5,0.4639394096763476,0.5597564119400953
26,6.964523281596453,2248.29711751663,85.55634918610404,451,88.13572284201636,463.5,1.0301482435897493,0.9730312837108953
27,25.094097680558175,2319.4857627757874,357.9066376115481,5303,317.05226881509014,6597.0,0.8858518828566712,0.8038502349552827
28,80.22819396487014,2408.161011860081,848.9676041556469,13322,582.2917374881373,21094.500000000004,0.6858821639811145,0.6315390267605299
29,174.33850895067445,2704.8653441336455,2581.488598904568,59381,1305.906589421212,98483.00000000001,0.5058734677253124,0.6029568554979031
30,30.393717447916668,2676.1110026041665,405.5340546095176,6144,345.62720193913117,7380.5,0.8522766411613204,0.8324639252083192
31,5.566502463054187,2665.6354679802957,53.55634918610404,203,56.413685359532806,212.0,1.0533519595127694,0.9575471698113207
32,5.358695652173913,2701.2065217391305,50.97056274847714,184,53.89308215489707,194.00000000000003,1.0573373972903064,0.9484536082474225
33,6.007604562737643,2743.0684410646386,66.04163056034261,263,68.48948698079326,280.0,1.037065354075624,0.9392857142857143
34,79.07113396539718,2806.8469119931437,898.8843430349616,18669,610.4445269977414,25720.499999999993,0.6791135386079347,0.7258412550300346
35,81.54162029824171,492.5222568439795,949.4478348960022,17972,672.260407097602,27690.000000000007,0.7080540735249957,0.649042975803539
36,191.49121650571834,1430.3818924887116,1599.8174593052022,30341,897.4851451815358,52743.50000000001,0.5609922181817618,0.5752557187141543
37,83.36886070075025,1350.9092737257329,684.9259735953042,12929,509.5880190307175,17027.5,0.7440045182631854,0.7593011305241522
38,53.064736499674694,2847.744957709824,249.3380951166243,3074,240.16471553137495,3452.5000000000005,0.9632090732827705,0.8903692976104272
39,86.04895561357702,187.88294168842472,357.8183258569795,4596,316.541676928293,6223.0,0.8846435580686696,0.7385505383255665
40,54.05081081081081,2290.4886486486485,118.12489168102785,925,117.06141413987567,976.5,0.9909970072690193,0.9472606246799795
41,58.924202127659576,463.0904255319149,107.49747468305833,752,105.66270031111561,810.0000000000001,0.982931930472299,0.9283950617283949
42,97.67525860607088,2083.0647787010344,453.30360723121805,5897,370.3004120776574,9091.0,0.8168927098097789,0.6486635133648664
43,85.4368932038835,2296.4680281218616,233.6639969244288,2987,217.89401182095298,3425.0000000000005,0.9325099916502065,0.8721167883211678
44,69.50368188512519,154.57437407952872,113.49747468305833,679,110.15049977636335,750.9999999999998,0.9705105781776959,0.9041278295605861
